,Coefficient,Std_Error,P_value,CI_lower,CI_upper
Intercept,1.791107943154984,1.2655633499925174,0.20673729501375587,-1.3056140163164354,4.887829902626403
C(Country)[T.USA],0.21909386554996158,0.809769136072532,0.7957932755334617,-1.76233983019734,2.2005275612972635
C(Year)[T.1988],-1.3208001069185187,1.347839477996699,0.3649606896628513,-4.61884449906969,1.9772442852326528
C(Year)[T.1992],-2.882545551744106,1.340158135845441,0.07501307516187758,-6.161794376752665,0.3967032732644533
C(Year)[T.1996],-2.010201808704946,2.096378200756724,0.37464167044444263,-7.139854472618542,3.11945085520865
C(Year)[T.2000],-1.900654875929967,1.6835363266921894,0.3020191584676416,-6.020119865546154,2.21881011368622
C(Year)[T.2004],-1.1416002138370356,1.474305539341952,0.4681402391142587,-4.749095910261533,2.465895482587462
C(Year)[T.2008],-0.2641867510134981,0.9135930658967618,0.7821803922856428,-2.4996684510801512,1.971294949053155
C(Year)[T.2012],-0.16546531830534084,0.9995527307719227,0.8739563745861954,-2.6112827410754753,2.2803521044647934
C(Year)[T.2016],-0.764186751013499,0.913593065896762,0.4349361232048856,-2.999668451080153,1.471294949053155
C(Year)[T.2020],-0.28229607519935684,0.9513571594062085,0.7766766363599876,-2.6101831832220217,2.0455910328233085
Treatment,1.107675858689356,2.2247775276120283,0.6362864825862865,-4.33615863978552,6.551510357164233
Post,-1.4761348955316969,0.9145363255495053,0.15763705884319987,-3.713924668821355,0.7616548777579615
Treatment:Post,0.12598565509867576,2.457998268408525,0.9607857965640472,-5.888519437963957,6.140490748161309
Athletes_Num,0.12349088965117841,0.06271238865029287,0.09646212845010316,-0.029960797350832485,0.27694257665318933
