Name,Sex,Team,NOC,Year,City,Sport,Event,Medal,Country
Artur Aleksanyan,M,Armenia,ARM,2024,Paris,Wrestling,Men's Greco-Roman 97kg,Silver,Armenia
Malkhas Amoyan,M,Armenia,ARM,2024,Paris,Wrestling,Men's Greco-Roman 77kg,Bronze,Armenia
Slavik Galstyan,M,Armenia,ARM,2024,Paris,Wrestling,Men's Greco-Roman 67kg,No medal,Armenia
Arsen Harutyunyan,M,Armenia,ARM,2024,Paris,Wrestling,Men's Freestyle 57kg,No medal,Armenia
Vazgen Tevanyan,M,Armenia,ARM,2024,Paris,Wrestling,Men's Freestyle 65kg,No medal,Armenia
Lorena Arenas,F,Colombia,COL,2024,Paris,Athletics,Women's 20km Race Walk,No medal,Colombia
Lorena Arenas,F,Colombia,COL,2024,Paris,Athletics,Marathon Race Walk Relay Mixed,No medal,Colombia
McKENZIE Ashley,M,Jamaica,JAM,2024,Paris,Judo,Men -60 kg,No medal,Jamaica
Mariam Bass,F,Gambia,GAM,2024,Paris,Athletics,Women's 100m,No medal,The Gambia
Mariam Bass,F,Gambia,GAM,2024,Paris,Athletics,Women's 200m,No medal,The Gambia
Ebrahima Camara,M,Gambia,GAM,2024,Paris,Athletics,Men's 100m,No medal,The Gambia
Lizeth Rueda,F,Mexico,MEX,2024,Paris,Triathlon,Women's Individual,No medal,Mexico
Maria Tapia,F,Mexico,MEX,2024,Paris,Triathlon,Women's Individual,No medal,Mexico
Crisanto Grajales,M,Mexico,MEX,2024,Paris,Triathlon,Men's Individual,No medal,Mexico
Hachim Maaroufou,M,Comoros,COM,2024,Paris,Athletics,Men's 100m,No medal,Comoros
Maesha Saadi,F,Comoros,COM,2024,Paris,Swimming,Women's 50m Freestyle,No medal,Comoros
Nuria Diosdado,F,Mexico,MEX,2024,Paris,Artistic Swimming,Team,No medal,Mexico
Nuria Diosdado,F,Mexico,MEX,2024,Paris,Artistic Swimming,Duet,No medal,Mexico
Joana Jimenez,F,Mexico,MEX,2024,Paris,Artistic Swimming,Team,No medal,Mexico
Joana Jimenez,F,Mexico,MEX,2024,Paris,Artistic Swimming,Duet,No medal,Mexico
