Name,NOC,Year,Sport,Medal,isCoached,Scoring_Exponential,ExperienceScoring_Exponential,CombinedScoring,TeamScoring
Hou Yuzhu,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998,0.302796998
Jiang Ying,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998,0.302796998
Lang Ping,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998,0.302796998
Li Yanjun,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998,0.302796998
Liang Yan,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998,0.302796998
Yang Xiaojun,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998,0.302796998
Yang Xilan,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998,0.302796998
Zhang Rongfang,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998,0.302796998
Zheng Meizhu,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998,0.302796998
Zhu Ling,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998,0.302796998
Cui Yongmei,CHN,1988,Volleyball,1,0,0.096388177,0,0.062642676,0.279636052
Hou Yuzhu,CHN,1988,Volleyball,1,0,0.604445587,0.420448208,0.540028104,0.279636052
Jiang Ying,CHN,1988,Volleyball,1,0,0.604445587,0.420448208,0.540028104,0.279636052
Li Guojun,CHN,1988,Volleyball,1,0,0.096388177,0,0.062642676,0.279636052
Li Yueming,CHN,1988,Volleyball,1,0,0.096388177,0,0.062642676,0.279636052
Su Huijuan,CHN,1988,Volleyball,1,0,0.096388177,0,0.062642676,0.279636052
Wang Yajun,CHN,1988,Volleyball,1,0,0.096388177,0,0.062642676,0.279636052
Wu Dan,CHN,1988,Volleyball,1,0,0.096388177,0,0.062642676,0.279636052
Yang Xiaojun,CHN,1988,Volleyball,1,0,0.604445587,0.420448208,0.540028104,0.279636052
Yang Xilan,CHN,1988,Volleyball,1,0,0.604445587,0.420448208,0.540028104,0.279636052
Zheng Meizhu,CHN,1988,Volleyball,1,0,0.604445587,0.420448208,0.540028104,0.279636052
Chen Fengqin,CHN,1992,Volleyball,0,0,0,0,0,0.052696455
Gao Lin,CHN,1992,Volleyball,0,0,0,0,0,0.052696455
Lai Yawen,CHN,1992,Volleyball,0,0,0,0,0,0.052696455
Li Guojun,CHN,1992,Volleyball,0,0,0.096388177,0.272626933,0.158089365,0.052696455
Li Yueming,CHN,1992,Volleyball,0,0,0.096388177,0.272626933,0.158089365,0.052696455
Ma Fang,CHN,1992,Volleyball,0,0,0,0,0,0.052696455
Su Huijuan,CHN,1992,Volleyball,0,0,0.096388177,0.272626933,0.158089365,0.052696455
Su Liqun,CHN,1992,Volleyball,0,0,0,0,0,0.052696455
Sun Yue,CHN,1992,Volleyball,0,0,0,0,0,0.052696455
Wang Yi,CHN,1992,Volleyball,0,0,0,0,0,0.052696455
Wu Dan,CHN,1992,Volleyball,0,0,0.096388177,0.272626933,0.158089365,0.052696455
Zhou Hong,CHN,1992,Volleyball,0,0,0,0,0,0.052696455
Cui Yongmei,CHN,1996,Volleyball,3,1,0.353553391,0.353553391,0.353553391,0.227083001
He Qi,CHN,1996,Volleyball,3,1,0.259593009,0,0.168709497,0.227083001
Lai Yawen,CHN,1996,Volleyball,3,1,0.259593009,0.324209889,0.282215379,0.227083001
Li Yan,CHN,1996,Volleyball,3,1,0.259593009,0,0.168709497,0.227083001
Sun Yue,CHN,1996,Volleyball,3,1,0.259593009,0.324209889,0.282215379,0.227083001
Wang Lina,CHN,1996,Volleyball,3,1,0.259593009,0,0.168709497,0.227083001
Wang Yi,CHN,1996,Volleyball,3,1,0.259593009,0.324209889,0.282215379,0.227083001
Wang Ziling,CHN,1996,Volleyball,3,1,0.259593009,0,0.168709497,0.227083001
Wu Yongmei,CHN,1996,Volleyball,3,1,0.259593009,0,0.168709497,0.227083001
Chen Jing,CHN,2000,Volleyball,0,0,0,0,0,0.166480918
Gui Chaoran,CHN,2000,Volleyball,0,0,0,0,0,0.166480918
He Qi,CHN,2000,Volleyball,0,0,0.259593009,0.324209889,0.282215379,0.166480918
Li Shan,CHN,2000,Volleyball,0,0,0,0,0,0.166480918
Li Yan,CHN,2000,Volleyball,0,0,0.259593009,0.324209889,0.282215379,0.166480918
Qiu Aihua,CHN,2000,Volleyball,0,0,0,0,0,0.166480918
Sun Yue,CHN,2000,Volleyball,0,0,0.259593009,1,0.518809497,0.166480918
Wang Lina,CHN,2000,Volleyball,0,0,0.259593009,0.324209889,0.282215379,0.166480918
Wu Dan,CHN,2000,Volleyball,0,0,0,1,0.3501,0.166480918
Wu Yongmei,CHN,2000,Volleyball,0,0,0.259593009,0.324209889,0.282215379,0.166480918
Yin Yin,CHN,2000,Volleyball,0,0,0,0,0,0.166480918
Zhu Yunying,CHN,2000,Volleyball,0,0,0,0,0,0.166480918
Chen Jing,CHN,2004,Volleyball,5,0,0.465913214,0.385552706,0.437779,0.383394249
Feng Kun,CHN,2004,Volleyball,5,0,0.465913214,0,0.302796998,0.383394249
Li Shan,CHN,2004,Volleyball,5,0,0.465913214,0.385552706,0.437779,0.383394249
Liu Yanan,CHN,2004,Volleyball,5,0,0.465913214,0,0.302796998,0.383394249
Song Nina,CHN,2004,Volleyball,5,0,0.465913214,0,0.302796998,0.383394249
Wang Lina,CHN,2004,Volleyball,5,0,1,1,1,0.383394249
Yang Hao,CHN,2004,Volleyball,5,0,0.465913214,0,0.302796998,0.383394249
Zhang Na,CHN,2004,Volleyball,5,0,0.465913214,0,0.302796998,0.383394249
Zhang Ping,CHN,2004,Volleyball,5,0,0.465913214,0,0.302796998,0.383394249
Zhang Yuehong,CHN,2004,Volleyball,5,0,0.465913214,0,0.302796998,0.383394249
