Name,Country,Year,Sport,Medal,isCoached,Scoring,ExperienceScoring,alpha,beta,Scoring_Exponential,ExperienceScoring_Exponential,CombinedScore
Jeanne (-reeves),United States,1984,Volleyball,Silver,0,3,0.5,1.333333333,1.666666667,0.231120425,0,0.144034249
Carolyn Becker,United States,1984,Volleyball,Silver,0,3,0.5,1.333333333,1.666666667,0.231120425,0,0.144034249
Linda Chisholm,United States,1984,Volleyball,Silver,0,3,0.5,1.333333333,1.666666667,0.231120425,0,0.144034249
Rita (-buck),United States,1984,Volleyball,Silver,0,3,0.5,1.333333333,1.666666667,0.231120425,0,0.144034249
Laura (-corbelli),United States,1984,Volleyball,Silver,0,3,0.5,1.333333333,1.666666667,0.231120425,0,0.144034249
Deborah (-vargas),United States,1984,Volleyball,Silver,0,3,0.5,1.333333333,1.666666667,0.231120425,0,0.144034249
Flora Hyman,United States,1984,Volleyball,Silver,0,3,0.5,1.333333333,1.666666667,0.231120425,0,0.144034249
Rose (-powell),United States,1984,Volleyball,Silver,0,3,0.5,1.333333333,1.666666667,0.231120425,0,0.144034249
Kimberly Ruddins,United States,1984,Volleyball,Silver,0,3,0.5,1.333333333,1.666666667,0.231120425,0,0.144034249
Julie (-melli),United States,1984,Volleyball,Silver,0,3,0.5,1.333333333,1.666666667,0.231120425,0,0.144034249
Paula (-hanold),United States,1984,Volleyball,Silver,0,3,0.5,1.333333333,1.666666667,0.231120425,0,0.144034249
Susan Woodstra,United States,1984,Volleyball,Silver,0,3,0.5,1.333333333,1.666666667,0.231120425,0,0.144034249
Deitre (-parker),United States,1988,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Caren Kemner,United States,1988,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Laurel Kessel,United States,1988,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Elizabeth Masakayan,United States,1988,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Jayne (gibson-),United States,1988,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Melissa (-kleespies),United States,1988,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Kimberley Oden,United States,1988,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Prikeba Phipps,United States,1988,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Angela Rock,United States,1988,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Kimberly Ruddins,United States,1988,Volleyball,No medal,0,3,1,1.333333333,1.666666667,0.231120425,0.099212566,0.181417543
Liane Sato,United States,1988,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Tammy Webb-liley,United States,1988,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Janet (-mulholland),United States,1992,Volleyball,Bronze,0,1,0.5,1.111111111,1.888888889,0.087042337,0,0.054244785
Tara Cross-battle,United States,1992,Volleyball,Bronze,0,1,0.5,1.111111111,1.888888889,0.087042337,0,0.054244785
Lori (-vandersnick),United States,1992,Volleyball,Bronze,0,1,0.5,1.111111111,1.888888889,0.087042337,0,0.054244785
Caren Kemner,United States,1992,Volleyball,Bronze,0,1,1,1.111111111,1.888888889,0.087042337,0.072908065,0.081716544
Ruth (-kenan),United States,1992,Volleyball,Bronze,0,1,0.5,1.111111111,1.888888889,0.087042337,0,0.054244785
Elaina Oden,United States,1992,Volleyball,Bronze,0,1,0.5,1.111111111,1.888888889,0.087042337,0,0.054244785
Kimberley Oden,United States,1992,Volleyball,Bronze,0,1,1,1.111111111,1.888888889,0.087042337,0.072908065,0.081716544
Tonya (-slacanin),United States,1992,Volleyball,Bronze,0,1,0.5,1.111111111,1.888888889,0.087042337,0,0.054244785
Liane Sato,United States,1992,Volleyball,Bronze,0,1,1,1.111111111,1.888888889,0.087042337,0.072908065,0.081716544
Tammy Webb-liley,United States,1992,Volleyball,Bronze,0,1,1,1.111111111,1.888888889,0.087042337,0.072908065,0.081716544
Paula (-hanold),United States,1992,Volleyball,Bronze,0,4,1,1.444444444,1.555555556,0.309950198,0.115734339,0.236769662
Yoko -hiroshi),United States,1992,Volleyball,Bronze,0,1,0.5,1.111111111,1.888888889,0.087042337,0,0.054244785
Tara Cross-battle,United States,1996,Volleyball,No medal,0,1,1,1.111111111,1.888888889,0.087042337,0.072908065,0.081716544
Lori (-vandersnick),United States,1996,Volleyball,No medal,0,1,1,1.111111111,1.888888889,0.087042337,0.072908065,0.081716544
Caren Kemner,United States,1996,Volleyball,No medal,0,1,1.5,1.111111111,1.888888889,0.087042337,0.270014935,0.155986412
Kristin Klein,United States,1996,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Beverly Oden,United States,1996,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Elaina Oden,United States,1996,Volleyball,No medal,0,1,1,1.111111111,1.888888889,0.087042337,0.072908065,0.081716544
Tonya (-slacanin),United States,1996,Volleyball,No medal,0,1,1,1.111111111,1.888888889,0.087042337,0.072908065,0.081716544
Danielle Scott-arruda,United States,1996,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Tammy Webb-liley,United States,1996,Volleyball,No medal,0,1,1.5,1.111111111,1.888888889,0.087042337,0.270014935,0.155986412
Paula (-hanold),United States,1996,Volleyball,No medal,0,1,1.5,1.111111111,1.888888889,0.087042337,0.270014935,0.155986412
Elaine Youngs,United States,1996,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Yoko -hiroshi),United States,1996,Volleyball,No medal,0,1,1,1.111111111,1.888888889,0.087042337,0.072908065,0.081716544
Robyn Mow-santos,United States,2000,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Heather Bown,United States,2000,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Tara Cross-battle,United States,2000,Volleyball,No medal,0,1,1.5,1.111111111,1.888888889,0.087042337,0.270014935,0.155986412
Mickisha Hurley,United States,2000,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Sarah Noriega,United States,2000,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Demetria Sance,United States,2000,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Danielle Scott-arruda,United States,2000,Volleyball,No medal,0,0,1,1,2,0,0.0625,0.02355
Stacy Sykora,United States,2000,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Charlene Tagaloa,United States,2000,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Logan Tom,United States,2000,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Kerri Jennings,United States,2000,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Allison Weston,United States,2000,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Robyn Mow-santos,United States,2004,Volleyball,No medal,0,0,1,1,2,0,0.0625,0.02355
Elisabeth (-mccutcheon),United States,2004,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Lindsey Berg,United States,2004,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Heather Bown,United States,2004,Volleyball,No medal,0,0,1,1,2,0,0.0625,0.02355
Tara Cross-battle,United States,2004,Volleyball,No medal,0,0,2,1,2,0,0.5625,0.21195
Tayyiba Haneef-park,United States,2004,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Nancy (meendering-),United States,2004,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Ogonna Nnamani,United States,2004,Volleyball,No medal,0,0,0.5,1,2,0,0,0
Prikeba Phipps,United States,2004,Volleyball,No medal,0,0,1,1,2,0,0.0625,0.02355
