Name,NOC,Year,Sport,Medal,isCoached,Scoring_Exponential,ExperienceScoring_Exponential,CombinedScore
Hou Yuzhu,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998
Jiang Ying,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998
Lang Ping,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998
Li Yanjun,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998
Liang Yan,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998
Yang Xiaojun,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998
Yang Xilan,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998
Zhang Rongfang,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998
Zheng Meizhu,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998
Zhu Ling,CHN,1984,Volleyball,5,0,0.465913214,0,0.302796998
Cui Yongmei,CHN,1988,Volleyball,1,0,0.096388177,0,0.062642676
Hou Yuzhu,CHN,1988,Volleyball,1,0,0.604445587,0.420448208,0.540028104
Jiang Ying,CHN,1988,Volleyball,1,0,0.604445587,0.420448208,0.540028104
Li Guojun,CHN,1988,Volleyball,1,0,0.096388177,0,0.062642676
Li Yueming,CHN,1988,Volleyball,1,0,0.096388177,0,0.062642676
Su Huijuan,CHN,1988,Volleyball,1,0,0.096388177,0,0.062642676
Wang Yajun,CHN,1988,Volleyball,1,0,0.096388177,0,0.062642676
Wu Dan,CHN,1988,Volleyball,1,0,0.096388177,0,0.062642676
Yang Xiaojun,CHN,1988,Volleyball,1,0,0.604445587,0.420448208,0.540028104
Yang Xilan,CHN,1988,Volleyball,1,0,0.604445587,0.420448208,0.540028104
Zheng Meizhu,CHN,1988,Volleyball,1,0,0.604445587,0.420448208,0.540028104
Chen Fengqin,CHN,1992,Volleyball,0,0,0,0,0
Gao Lin,CHN,1992,Volleyball,0,0,0,0,0
Lai Yawen,CHN,1992,Volleyball,0,0,0,0,0
Li Guojun,CHN,1992,Volleyball,0,0,0.096388177,0.272626933,0.158089365
Li Yueming,CHN,1992,Volleyball,0,0,0.096388177,0.272626933,0.158089365
Ma Fang,CHN,1992,Volleyball,0,0,0,0,0
Su Huijuan,CHN,1992,Volleyball,0,0,0.096388177,0.272626933,0.158089365
Su Liqun,CHN,1992,Volleyball,0,0,0,0,0
Sun Yue,CHN,1992,Volleyball,0,0,0,0,0
