Name,Country,Year,Sport,isCoached,Scoring_Current,ExperienceScoring,Medal
Atanasia (-albu),Romania,1960,Gymnastics,0,1,0,Bronze
Sonia Iovan-inovan,Romania,1960,Gymnastics,0,1,0,Bronze
Elena (-teodorescu),Romania,1960,Gymnastics,0,1,0,Bronze
Elena -fodor),Romania,1960,Gymnastics,0,1,0,Bronze
Uta Poreceanu-schlandt,Romania,1960,Gymnastics,0,1,0,Bronze
Emilia Vtoiu-li,Romania,1960,Gymnastics,0,1,0,Bronze
Nadia (-conner),Romania,1976,Gymnastics,0,1,0,Bronze
Dnut Grecu,Romania,1976,Gymnastics,0,1,1,Bronze
Teodora (-cepoi),Romania,1976,Gymnastics,0,1,0,Bronze
Melita (-fleischer),Romania,1980,Gymnastics,0,1,0,Bronze
Melita (-fleischer),Romania,1980,Gymnastics,0,1,0,Bronze
Nadia (-conner),Romania,1976,Gymnastics,0,5,0,Gold
Nadia (-conner),Romania,1976,Gymnastics,0,5,0,Gold
Nadia (-conner),Romania,1976,Gymnastics,0,5,0,Gold
Nadia (-conner),Romania,1980,Gymnastics,0,5,1,Gold
Nadia (-conner),Romania,1980,Gymnastics,0,5,1,Gold
Atanasia (-albu),Romania,1960,Gymnastics,0,0,0,No medal
Atanasia (-albu),Romania,1960,Gymnastics,0,0,0,No medal
Atanasia (-albu),Romania,1960,Gymnastics,0,0,0,No medal
Atanasia (-albu),Romania,1960,Gymnastics,0,0,0,No medal
Atanasia (-albu),Romania,1960,Gymnastics,0,0,0,No medal
Sonia Iovan-inovan,Romania,1960,Gymnastics,0,0,0,No medal
Sonia Iovan-inovan,Romania,1960,Gymnastics,0,0,0,No medal
Sonia Iovan-inovan,Romania,1960,Gymnastics,0,0,0,No medal
Sonia Iovan-inovan,Romania,1960,Gymnastics,0,0,0,No medal
Sonia Iovan-inovan,Romania,1960,Gymnastics,0,0,0,No medal
Elena (-teodorescu),Romania,1960,Gymnastics,0,0,0,No medal
Elena (-teodorescu),Romania,1960,Gymnastics,0,0,0,No medal
Elena (-teodorescu),Romania,1960,Gymnastics,0,0,0,No medal
Elena (-teodorescu),Romania,1960,Gymnastics,0,0,0,No medal
Elena (-teodorescu),Romania,1960,Gymnastics,0,0,0,No medal
Elena -fodor),Romania,1960,Gymnastics,0,0,0,No medal
Elena -fodor),Romania,1960,Gymnastics,0,0,0,No medal
Elena -fodor),Romania,1960,Gymnastics,0,0,0,No medal
Elena -fodor),Romania,1960,Gymnastics,0,0,0,No medal
Elena -fodor),Romania,1960,Gymnastics,0,0,0,No medal
Uta Poreceanu-schlandt,Romania,1960,Gymnastics,0,0,0,No medal
Uta Poreceanu-schlandt,Romania,1960,Gymnastics,0,0,0,No medal
Uta Poreceanu-schlandt,Romania,1960,Gymnastics,0,0,0,No medal
Uta Poreceanu-schlandt,Romania,1960,Gymnastics,0,0,0,No medal
Uta Poreceanu-schlandt,Romania,1960,Gymnastics,0,0,0,No medal
Emilia Vtoiu-li,Romania,1960,Gymnastics,0,0,0,No medal
Emilia Vtoiu-li,Romania,1960,Gymnastics,0,0,0,No medal
Emilia Vtoiu-li,Romania,1960,Gymnastics,0,0,0,No medal
Emilia Vtoiu-li,Romania,1960,Gymnastics,0,0,0,No medal
Emilia Vtoiu-li,Romania,1960,Gymnastics,0,0,0,No medal
Anton Cadar,Romania,1964,Gymnastics,0,0,0,No medal
Anton Cadar,Romania,1964,Gymnastics,0,0,0,No medal
Anton Cadar,Romania,1964,Gymnastics,0,0,0,No medal
Anton Cadar,Romania,1964,Gymnastics,0,0,0,No medal
Anton Cadar,Romania,1964,Gymnastics,0,0,0,No medal
Anton Cadar,Romania,1964,Gymnastics,0,0,0,No medal
Anton Cadar,Romania,1964,Gymnastics,0,0,0,No medal
Anton Cadar,Romania,1964,Gymnastics,0,0,0,No medal
Elena Ceampelea,Romania,1964,Gymnastics,0,0,0,No medal
Elena Ceampelea,Romania,1964,Gymnastics,0,0,0,No medal
Elena Ceampelea,Romania,1964,Gymnastics,0,0,0,No medal
Elena Ceampelea,Romania,1964,Gymnastics,0,0,0,No medal
Elena Ceampelea,Romania,1964,Gymnastics,0,0,0,No medal
Elena Ceampelea,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Condovici,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Condovici,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Condovici,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Condovici,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Condovici,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Condovici,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Condovici,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Condovici,Romania,1964,Gymnastics,0,0,0,No medal
Cristina (-ionia),Romania,1964,Gymnastics,0,0,0,No medal
Cristina (-ionia),Romania,1964,Gymnastics,0,0,0,No medal
Cristina (-ionia),Romania,1964,Gymnastics,0,0,0,No medal
Cristina (-ionia),Romania,1964,Gymnastics,0,0,0,No medal
Cristina (-ionia),Romania,1964,Gymnastics,0,0,0,No medal
Cristina (-ionia),Romania,1964,Gymnastics,0,0,0,No medal
Atanasia (-albu),Romania,1964,Gymnastics,0,0,1,No medal
Atanasia (-albu),Romania,1964,Gymnastics,0,0,1,No medal
Atanasia (-albu),Romania,1964,Gymnastics,0,0,1,No medal
Atanasia (-albu),Romania,1964,Gymnastics,0,0,1,No medal
Atanasia (-albu),Romania,1964,Gymnastics,0,0,1,No medal
Atanasia (-albu),Romania,1964,Gymnastics,0,0,1,No medal
Sonia Iovan-inovan,Romania,1964,Gymnastics,0,0,1,No medal
Sonia Iovan-inovan,Romania,1964,Gymnastics,0,0,1,No medal
Sonia Iovan-inovan,Romania,1964,Gymnastics,0,0,1,No medal
Sonia Iovan-inovan,Romania,1964,Gymnastics,0,0,1,No medal
Sonia Iovan-inovan,Romania,1964,Gymnastics,0,0,1,No medal
Sonia Iovan-inovan,Romania,1964,Gymnastics,0,0,1,No medal
Elena (-teodorescu),Romania,1964,Gymnastics,0,0,1,No medal
Elena (-teodorescu),Romania,1964,Gymnastics,0,0,1,No medal
Elena (-teodorescu),Romania,1964,Gymnastics,0,0,1,No medal
Elena (-teodorescu),Romania,1964,Gymnastics,0,0,1,No medal
Elena (-teodorescu),Romania,1964,Gymnastics,0,0,1,No medal
Elena (-teodorescu),Romania,1964,Gymnastics,0,0,1,No medal
Petre Miclu,Romania,1964,Gymnastics,0,0,0,No medal
Petre Miclu,Romania,1964,Gymnastics,0,0,0,No medal
Petre Miclu,Romania,1964,Gymnastics,0,0,0,No medal
Petre Miclu,Romania,1964,Gymnastics,0,0,0,No medal
Petre Miclu,Romania,1964,Gymnastics,0,0,0,No medal
Petre Miclu,Romania,1964,Gymnastics,0,0,0,No medal
Petre Miclu,Romania,1964,Gymnastics,0,0,0,No medal
Petre Miclu,Romania,1964,Gymnastics,0,0,0,No medal
Frederic Orendi,Romania,1964,Gymnastics,0,0,0,No medal
Frederic Orendi,Romania,1964,Gymnastics,0,0,0,No medal
Frederic Orendi,Romania,1964,Gymnastics,0,0,0,No medal
Frederic Orendi,Romania,1964,Gymnastics,0,0,0,No medal
Frederic Orendi,Romania,1964,Gymnastics,0,0,0,No medal
Frederic Orendi,Romania,1964,Gymnastics,0,0,0,No medal
Frederic Orendi,Romania,1964,Gymnastics,0,0,0,No medal
Frederic Orendi,Romania,1964,Gymnastics,0,0,0,No medal
Alexandru Szilaghi,Romania,1964,Gymnastics,0,0,0,No medal
Alexandru Szilaghi,Romania,1964,Gymnastics,0,0,0,No medal
Alexandru Szilaghi,Romania,1964,Gymnastics,0,0,0,No medal
Alexandru Szilaghi,Romania,1964,Gymnastics,0,0,0,No medal
Alexandru Szilaghi,Romania,1964,Gymnastics,0,0,0,No medal
Alexandru Szilaghi,Romania,1964,Gymnastics,0,0,0,No medal
Alexandru Szilaghi,Romania,1964,Gymnastics,0,0,0,No medal
Alexandru Szilaghi,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Tohneanu,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Tohneanu,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Tohneanu,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Tohneanu,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Tohneanu,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Tohneanu,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Tohneanu,Romania,1964,Gymnastics,0,0,0,No medal
Gheorghe Tohneanu,Romania,1964,Gymnastics,0,0,0,No medal
Emilia Vtoiu-li,Romania,1964,Gymnastics,0,0,1,No medal
Emilia Vtoiu-li,Romania,1964,Gymnastics,0,0,1,No medal
Emilia Vtoiu-li,Romania,1964,Gymnastics,0,0,1,No medal
Emilia Vtoiu-li,Romania,1964,Gymnastics,0,0,1,No medal
Emilia Vtoiu-li,Romania,1964,Gymnastics,0,0,1,No medal
Emilia Vtoiu-li,Romania,1964,Gymnastics,0,0,1,No medal
Elena Ceampelea,Romania,1972,Gymnastics,0,0,1,No medal
Elena Ceampelea,Romania,1972,Gymnastics,0,0,1,No medal
Elena Ceampelea,Romania,1972,Gymnastics,0,0,1,No medal
Elena Ceampelea,Romania,1972,Gymnastics,0,0,1,No medal
Elena Ceampelea,Romania,1972,Gymnastics,0,0,1,No medal
