NOC,country,Sport,gold_count,total_medals,athlete_count
AFG,Afghanistan,Athletics,0,26,16
AFG,Afghanistan,Boxing,0,5,5
AFG,Afghanistan,Cycling Road,0,3,2
AFG,Afghanistan,Football,0,11,10
AFG,Afghanistan,Hockey,0,39,31
AFG,Afghanistan,Judo,0,4,4
AFG,Afghanistan,Shooting,0,1,1
AFG,Afghanistan,Swimming,0,2,1
AFG,Afghanistan,Taekwondo,0,5,3
AFG,Afghanistan,Wrestling,0,42,35
AHO,Netherlands,Athletics,0,14,11
AHO,Netherlands,Equestrianism,0,2,1
AHO,Netherlands,Fencing,0,4,3
AHO,Netherlands,Football,0,11,11
AHO,Netherlands,Judo,0,3,3
AHO,Netherlands,Sailing,0,6,5
AHO,Netherlands,Shooting,0,7,4
AHO,Netherlands,Swimming,0,11,5
AHO,Netherlands,Synchronized Swimming,0,4,2
AHO,Netherlands,Triathlon,0,1,1
AHO,Netherlands,Weightlifting,0,11,7
AIN,Russia,Canoe Sprint,0,6,5
AIN,Russia,Cycling Road,0,7,4
AIN,Russia,Rowing,0,2,2
AIN,Russia,Shooting,0,2,2
AIN,Russia,Swimming,0,7,4
AIN,Russia,Taekwondo,0,1,1
AIN,Russia,Tennis,0,14,7
AIN,Russia,Trampoline Gymnastics,1,3,3
AIN,Russia,Weightlifting,0,2,2
AIN,Russia,Wrestling,0,2,2
ALB,Albania,Artistic Gymnastics,0,1,1
ALB,Albania,Athletics,0,16,10
ALB,Albania,Cycling,0,1,1
ALB,Albania,Judo,0,3,3
ALB,Albania,Shooting,0,20,11
ALB,Albania,Swimming,0,15,9
ALB,Albania,Weightlifting,0,19,13
ALB,Albania,Wrestling,0,7,6
ALG,Algeria,Artistic Gymnastics,1,6,1
ALG,Algeria,Athletics,4,152,98
ALG,Algeria,Badminton,0,3,3
ALG,Algeria,Boxing,2,82,59
ALG,Algeria,Canoe Slalom,0,2,1
ALG,Algeria,Canoe Sprint,0,2,1
ALG,Algeria,Cycling,0,6,6
ALG,Algeria,Cycling Road,0,5,4
ALG,Algeria,Fencing,0,33,20
ALG,Algeria,Football,0,32,32
ALG,Algeria,Gymnastics,0,24,4
ALG,Algeria,Handball,0,59,45
ALG,Algeria,Judo,0,57,36
ALG,Algeria,Karate,0,1,1
ALG,Algeria,Marathon Swimming,0,1,1
ALG,Algeria,Rowing,0,14,11
ALG,Algeria,Sailing,0,6,5
ALG,Algeria,Shooting,0,6,5
ALG,Algeria,Swimming,0,44,19
ALG,Algeria,Table Tennis,0,13,11
ALG,Algeria,Taekwondo,0,1,1
ALG,Algeria,Tennis,0,2,2
ALG,Algeria,Trampolining,0,1,1
ALG,Algeria,Volleyball,0,31,26
ALG,Algeria,Weightlifting,0,21,11
ALG,Algeria,Wrestling,0,35,28
AND,Andorra,Athletics,0,15,9
AND,Andorra,Boxing,0,1,1
AND,Andorra,Canoe Slalom,0,5,1
AND,Andorra,Canoeing,0,1,1
AND,Andorra,Cycling,0,5,3
AND,Andorra,Judo,0,6,4
AND,Andorra,Sailing,0,5,3
AND,Andorra,Shooting,0,12,7
AND,Andorra,Swimming,0,10,7
ANG,Angola,Athletics,0,31,19
ANG,Angola,Basketball,0,71,46
ANG,Angola,Beach Volleyball,0,2,2
ANG,Angola,Boxing,0,7,7
ANG,Angola,Canoe Sprint,0,3,2
ANG,Angola,Canoeing,0,6,2
ANG,Angola,Handball,0,113,61
ANG,Angola,Judo,0,16,13
ANG,Angola,Rowing,0,3,3
ANG,Angola,Sailing,0,11,9
ANG,Angola,Shooting,0,3,2
ANG,Angola,Swimming,0,47,23
ANT,Antigua and Barbuda,Athletics,0,100,42
ANT,Antigua and Barbuda,Boxing,0,3,3
ANT,Antigua and Barbuda,Canoeing,0,3,3
ANT,Antigua and Barbuda,Cycling,0,17,10
ANT,Antigua and Barbuda,Sailing,0,11,10
ANT,Antigua and Barbuda,Swimming,0,10,9
ANZ,Australasia,Athletics,0,22,14
ANZ,Australasia,Boxing,0,1,1
ANZ,Australasia,Diving,0,1,1
ANZ,Australasia,Rowing,0,10,10
ANZ,Australasia,Rugby,15,15,15
ANZ,Australasia,Shooting,0,3,1
ANZ,Australasia,Swimming,5,33,13
ANZ,Australasia,Tennis,0,1,1
ARG,Argentina,Archery,0,3,3
ARG,Argentina,Art Competitions,0,2,1
ARG,Argentina,Artistic Gymnastics,0,5,1
ARG,Argentina,Athletics,2,258,149
ARG,Argentina,Basketball,12,100,71
ARG,Argentina,Beach Volleyball,0,18,10
ARG,Argentina,Boxing,7,138,127
ARG,Argentina,Canoe Slalom,0,1,1
ARG,Argentina,Canoe Sprint,0,6,3
ARG,Argentina,Canoeing,0,49,29
ARG,Argentina,Cycling,2,179,99
ARG,Argentina,Cycling BMX Freestyle,1,1,1
ARG,Argentina,Cycling BMX Racing,0,3,3
ARG,Argentina,Cycling Mountain Bike,0,1,1
ARG,Argentina,Cycling Road,0,2,1
ARG,Argentina,Diving,0,9,4
ARG,Argentina,Equestrian,0,9,5
ARG,Argentina,Equestrianism,0,156,67
ARG,Argentina,Fencing,0,241,92
ARG,Argentina,Figure Skating,0,1,1
ARG,Argentina,Football,34,182,179
ARG,Argentina,Golf,0,5,4
ARG,Argentina,Gymnastics,0,133,20
ARG,Argentina,Handball,0,75,60
ARG,Argentina,Hockey,18,356,235
ARG,Argentina,Judo,1,68,40
ARG,Argentina,Marathon Swimming,0,1,1
ARG,Argentina,Modern Pentathlon,0,20,12
ARG,Argentina,Polo,9,9,9
ARG,Argentina,Rowing,2,190,159
ARG,Argentina,Rugby Sevens,0,40,31
ARG,Argentina,Sailing,2,196,130
ARG,Argentina,Shooting,0,132,72
ARG,Argentina,Skateboarding,0,2,2
ARG,Argentina,Surfing,0,1,1
ARG,Argentina,Swimming,1,266,105
ARG,Argentina,Synchronized Swimming,0,4,2
ARG,Argentina,Table Tennis,0,17,8
ARG,Argentina,Taekwondo,1,9,7
ARG,Argentina,Tennis,0,115,52
ARG,Argentina,Triathlon,0,8,6
ARG,Argentina,Volleyball,0,131,92
ARG,Argentina,Water Polo,0,28,23
ARG,Argentina,Weightlifting,0,36,28
ARG,Argentina,Wrestling,0,69,36
ARM,Armenia,Artistic Gymnastics,0,6,2
ARM,Armenia,Athletics,0,20,16
ARM,Armenia,Boxing,0,22,19
ARM,Armenia,Canoeing,0,2,1
ARM,Armenia,Cycling,0,1,1
ARM,Armenia,Diving,0,3,2
ARM,Armenia,Gymnastics,0,20,4
ARM,Armenia,Judo,0,9,5
ARM,Armenia,Shooting,0,11,4
ARM,Armenia,Swimming,0,13,9
ARM,Armenia,Taekwondo,0,1,1
ARM,Armenia,Tennis,0,3,1
ARM,Armenia,Weightlifting,0,41,32
ARM,Armenia,Wrestling,2,58,40
ARU,Aruba,Athletics,0,9,7
ARU,Aruba,Boxing,0,2,2
ARU,Aruba,Cycling,0,3,2
