Name,NOC,Year,Sport,Medal,isCoached,Scoring_Past8,Scoring_Past4,Scoring_Current,ExperienceScoring
Hou Yuzhu,CHN,1984,Volleyball,Gold,0,5,,,0
Jiang Ying,CHN,1984,Volleyball,Gold,0,5,,,0
Lang Ping,CHN,1984,Volleyball,Gold,0,5,,,0
Li Yanjun,CHN,1984,Volleyball,Gold,0,5,,,0
Liang Yan,CHN,1984,Volleyball,Gold,0,5,,,0
Yang Xiaojun,CHN,1984,Volleyball,Gold,0,5,,,0
Yang Xilan,CHN,1984,Volleyball,Gold,0,5,,,0
Zhang Rongfang,CHN,1984,Volleyball,Gold,0,5,,,0
Zheng Meizhu,CHN,1984,Volleyball,Gold,0,5,,,0
Zhu Ling,CHN,1984,Volleyball,Gold,0,5,,,0
Cui Yongmei,CHN,1988,Volleyball,Bronze,0,1,,,0
Hou Yuzhu,CHN,1988,Volleyball,Bronze,0,6,,,0.5
Jiang Ying,CHN,1988,Volleyball,Bronze,0,6,,,0.5
Li Guojun,CHN,1988,Volleyball,Bronze,0,1,,,0
Li Yueming,CHN,1988,Volleyball,Bronze,0,1,,,0
Su Huijuan,CHN,1988,Volleyball,Bronze,0,1,,,0
Wang Yajun,CHN,1988,Volleyball,Bronze,0,1,,,0
Wu Dan,CHN,1988,Volleyball,Bronze,0,1,,,0
Yang Xiaojun,CHN,1988,Volleyball,Bronze,0,6,,,0.5
Yang Xilan,CHN,1988,Volleyball,Bronze,0,6,,,0.5
Zheng Meizhu,CHN,1988,Volleyball,Bronze,0,6,,,0.5
Chen Fengqin,CHN,1992,Volleyball,No medal,0,0,,,0
Gao Lin,CHN,1992,Volleyball,No medal,0,0,,,0
Lai Yawen,CHN,1992,Volleyball,No medal,0,0,,,0
Li Guojun,CHN,1992,Volleyball,No medal,0,1,,,0.5
Li Yueming,CHN,1992,Volleyball,No medal,0,1,,,0.5
Ma Fang,CHN,1992,Volleyball,No medal,0,0,,,0
Su Huijuan,CHN,1992,Volleyball,No medal,0,1,,,0.5
Su Liqun,CHN,1992,Volleyball,No medal,0,0,,,0
Sun Yue,CHN,1992,Volleyball,No medal,0,0,,,0
Wang Yi,CHN,1992,Volleyball,No medal,0,0,,,0
Wu Dan,CHN,1992,Volleyball,No medal,0,1,,,0.5
Zhou Hong,CHN,1992,Volleyball,No medal,0,0,,,0
Cui Yongmei,CHN,1996,Volleyball,Silver,1,4,,,0.5
He Qi,CHN,1996,Volleyball,Silver,1,3,,,0
Lai Yawen,CHN,1996,Volleyball,Silver,1,3,,,0.5
Li Yan,CHN,1996,Volleyball,Silver,1,3,,,0
Sun Yue,CHN,1996,Volleyball,Silver,1,3,,,0.5
Wang Lina,CHN,1996,Volleyball,Silver,1,3,,,0
Wang Yi,CHN,1996,Volleyball,Silver,1,3,,,0.5
Wang Ziling,CHN,1996,Volleyball,Silver,1,3,,,0
Wu Yongmei,CHN,1996,Volleyball,Silver,1,3,,,0
Chen Jing,CHN,2000,Volleyball,No medal,0,0,,,0
Gui Chaoran,CHN,2000,Volleyball,No medal,0,0,,,0
He Qi,CHN,2000,Volleyball,No medal,0,3,,,0.5
Li Shan,CHN,2000,Volleyball,No medal,0,0,,,0
Li Yan,CHN,2000,Volleyball,No medal,0,3,,,0.5
Qiu Aihua,CHN,2000,Volleyball,No medal,0,0,,,0
Sun Yue,CHN,2000,Volleyball,No medal,0,3,,,1
Wang Lina,CHN,2000,Volleyball,No medal,0,3,,,0.5
Wu Dan,CHN,2000,Volleyball,No medal,0,0,,,1
Wu Yongmei,CHN,2000,Volleyball,No medal,0,3,,,0.5
Yin Yin,CHN,2000,Volleyball,No medal,0,0,,,0
Zhu Yunying,CHN,2000,Volleyball,No medal,0,0,,,0
Chen Jing,CHN,2004,Volleyball,Gold,0,5,,,0.5
Feng Kun,CHN,2004,Volleyball,Gold,0,5,,,0
Li Shan,CHN,2004,Volleyball,Gold,0,5,,,0.5
Liu Yanan,CHN,2004,Volleyball,Gold,0,5,,,0
Song Nina,CHN,2004,Volleyball,Gold,0,5,,,0
Wang Lina,CHN,2004,Volleyball,Gold,0,8,,,1
Yang Hao,CHN,2004,Volleyball,Gold,0,5,,,0
Zhang Na,CHN,2004,Volleyball,Gold,0,5,,,0
Zhang Ping,CHN,2004,Volleyball,Gold,0,5,,,0
Zhang Yuehong,CHN,2004,Volleyball,Gold,0,5,,,0
Zhao Ruirui,CHN,2004,Volleyball,Gold,0,5,,,0
Zhou Suhong,CHN,2004,Volleyball,Gold,0,5,,,0
Feng Kun,CHN,2008,Volleyball,Bronze,0,6,,,0.5
Li Juan,CHN,2008,Volleyball,Bronze,0,1,,,0
Liu Yanan,CHN,2008,Volleyball,Bronze,0,6,,,0.5
Ma Yunwen,CHN,2008,Volleyball,Bronze,0,1,,,0
Wang Yimei,CHN,2008,Volleyball,Bronze,0,1,,,0
Wei Qiuyue,CHN,2008,Volleyball,Bronze,0,1,,,0
Xu Yunli,CHN,2008,Volleyball,Bronze,0,1,,,0
Xue Ming,CHN,2008,Volleyball,Bronze,0,1,,,0
Yang Hao,CHN,2008,Volleyball,Bronze,0,6,,,0.5
Zhang Na,CHN,2008,Volleyball,Bronze,0,6,,,0.5
Zhao Ruirui,CHN,2008,Volleyball,Bronze,0,6,,,0.5
Zhou Suhong,CHN,2008,Volleyball,Bronze,0,6,,,0.5
Chu Jinling,CHN,2012,Volleyball,No medal,0,0,,,0
Hui Ruoqi,CHN,2012,Volleyball,No medal,0,0,,,0
Ma Yunwen,CHN,2012,Volleyball,No medal,0,1,,,0.5
Mi Yang,CHN,2012,Volleyball,No medal,0,0,,,0
Shan Danna,CHN,2012,Volleyball,No medal,0,0,,,0
Wang Yimei,CHN,2012,Volleyball,No medal,0,1,,,0.5
Wei Qiuyue,CHN,2012,Volleyball,No medal,0,1,,,0.5
Xu Yunli,CHN,2012,Volleyball,No medal,0,1,,,0.5
Yang Junjing,CHN,2012,Volleyball,No medal,0,0,,,0
Zeng Chunlei,CHN,2012,Volleyball,No medal,0,0,,,0
Zhang Lei,CHN,2012,Volleyball,No medal,0,0,,,0
Zhang Xian,CHN,2012,Volleyball,No medal,0,0,,,0
Ding Xia,CHN,2016,Volleyball,Gold,1,5,,,0
Gong Xiangyu,CHN,2016,Volleyball,Gold,1,5,,,0
Hui Ruoqi,CHN,2016,Volleyball,Gold,1,5,,,0.5
Lin Li,CHN,2016,Volleyball,Gold,1,5,,,0
Liu Xiaotong,CHN,2016,Volleyball,Gold,1,5,,,0
Wei Qiuyue,CHN,2016,Volleyball,Gold,1,6,,,1
Xu Yunli,CHN,2016,Volleyball,Gold,1,6,,,1
Yan Ni,CHN,2016,Volleyball,Gold,1,5,,,0
Yang Fangxu,CHN,2016,Volleyball,Gold,1,5,,,0
Yuan Xinyue,CHN,2016,Volleyball,Gold,1,5,,,0
Zhang Changning,CHN,2016,Volleyball,Gold,1,5,,,0
Zhu Ting,CHN,2016,Volleyball,Gold,1,5,,,0
Xia Ding,CHN,2020,Volleyball,No medal,1,0,,,0
Xiangyu Gong,CHN,2020,Volleyball,No medal,1,0,,,0
Yingying Li,CHN,2020,Volleyball,No medal,1,0,,,0
Xiaotong Liu,CHN,2020,Volleyball,No medal,1,0,,,0
Yanhan Liu,CHN,2020,Volleyball,No medal,1,0,,,0
Mengjie Wang,CHN,2020,Volleyball,No medal,1,0,,,0
Yuanyuan Wang,CHN,2020,Volleyball,No medal,1,0,,,0
Ni Yan,CHN,2020,Volleyball,No medal,1,0,,,0
Di Yao,CHN,2020,Volleyball,No medal,1,0,,,0
Xinyue Yuan,CHN,2020,Volleyball,No medal,1,0,,,0
Changning Zhang,CHN,2020,Volleyball,No medal,1,0,,,0
Ting Zhu,CHN,2020,Volleyball,No medal,1,0,,,0
Linyu Diao,CHN,2024,Volleyball,No medal,0,0,,,0
Xia Ding,CHN,2024,Volleyball,No medal,0,0,,,0.5
Yi Gao,CHN,2024,Volleyball,No medal,0,0,,,0
Xiangyu Gong,CHN,2024,Volleyball,No medal,0,0,,,0.5
Yingying Li,CHN,2024,Volleyball,No medal,0,0,,,0.5
Mengjie Wang,CHN,2024,Volleyball,No medal,0,0,,,0.5
Mengjie Wu,CHN,2024,Volleyball,No medal,0,0,,,0
Xinyue Yuan,CHN,2024,Volleyball,No medal,0,0,,,0.5
Changning Zhang,CHN,2024,Volleyball,No medal,0,0,,,0.5
Yushan Zhuang,CHN,2024,Volleyball,No medal,0,0,,,0
Yuanyuan Wang,CHN,2024,Volleyball,No medal,0,0,,,0.5
Yixin Zheng,CHN,2024,Volleyball,No medal,0,0,,,0
Ting Zhu,CHN,2024,Volleyball,No medal,0,0,,,0.5
Jeanne (-reeves),United States,1984,Volleyball,Silver,0,3,,,0
Carolyn Becker,United States,1984,Volleyball,Silver,0,3,,,0
Linda Chisholm,United States,1984,Volleyball,Silver,0,3,,,0
Rita (-buck),United States,1984,Volleyball,Silver,0,3,,,0
Laura (-corbelli),United States,1984,Volleyball,Silver,0,3,,,0
Deborah (-vargas),United States,1984,Volleyball,Silver,0,3,,,0
Flora Hyman,United States,1984,Volleyball,Silver,0,3,,,0
Rose (-powell),United States,1984,Volleyball,Silver,0,3,,,0
Kimberly Ruddins,United States,1984,Volleyball,Silver,0,3,,,0
Julie (-melli),United States,1984,Volleyball,Silver,0,3,,,0
Paula (-hanold),United States,1984,Volleyball,Silver,0,3,,,0
Susan Woodstra,United States,1984,Volleyball,Silver,0,3,,,0
Deitre (-parker),United States,1988,Volleyball,No medal,0,0,,,0
Caren Kemner,United States,1988,Volleyball,No medal,0,0,,,0
Laurel Kessel,United States,1988,Volleyball,No medal,0,0,,,0
Elizabeth Masakayan,United States,1988,Volleyball,No medal,0,0,,,0
Jayne (gibson-),United States,1988,Volleyball,No medal,0,0,,,0
Melissa (-kleespies),United States,1988,Volleyball,No medal,0,0,,,0
Kimberley Oden,United States,1988,Volleyball,No medal,0,0,,,0
Prikeba Phipps,United States,1988,Volleyball,No medal,0,0,,,0
Angela Rock,United States,1988,Volleyball,No medal,0,0,,,0
Kimberly Ruddins,United States,1988,Volleyball,No medal,0,3,,,0.5
Liane Sato,United States,1988,Volleyball,No medal,0,0,,,0
Tammy Webb-liley,United States,1988,Volleyball,No medal,0,0,,,0
Janet (-mulholland),United States,1992,Volleyball,Bronze,0,1,,,0
Tara Cross-battle,United States,1992,Volleyball,Bronze,0,1,,,0
Lori (-vandersnick),United States,1992,Volleyball,Bronze,0,1,,,0
Caren Kemner,United States,1992,Volleyball,Bronze,0,1,,,0.5
Ruth (-kenan),United States,1992,Volleyball,Bronze,0,1,,,0
Elaina Oden,United States,1992,Volleyball,Bronze,0,1,,,0
Kimberley Oden,United States,1992,Volleyball,Bronze,0,1,,,0.5
Tonya (-slacanin),United States,1992,Volleyball,Bronze,0,1,,,0
Liane Sato,United States,1992,Volleyball,Bronze,0,1,,,0.5
Tammy Webb-liley,United States,1992,Volleyball,Bronze,0,1,,,0.5
Paula (-hanold),United States,1992,Volleyball,Bronze,0,4,,,0.5
Yoko -hiroshi),United States,1992,Volleyball,Bronze,0,1,,,0
Tara Cross-battle,United States,1996,Volleyball,No medal,0,1,,,0.5
Lori (-vandersnick),United States,1996,Volleyball,No medal,0,1,,,0.5
Caren Kemner,United States,1996,Volleyball,No medal,0,1,,,1
Kristin Klein,United States,1996,Volleyball,No medal,0,0,,,0
Beverly Oden,United States,1996,Volleyball,No medal,0,0,,,0
Elaina Oden,United States,1996,Volleyball,No medal,0,1,,,0.5
Tonya (-slacanin),United States,1996,Volleyball,No medal,0,1,,,0.5
Danielle Scott-arruda,United States,1996,Volleyball,No medal,0,0,,,0
Tammy Webb-liley,United States,1996,Volleyball,No medal,0,1,,,1
Paula (-hanold),United States,1996,Volleyball,No medal,0,1,,,1
Elaine Youngs,United States,1996,Volleyball,No medal,0,0,,,0
Yoko -hiroshi),United States,1996,Volleyball,No medal,0,1,,,0.5
Robyn Mow-santos,United States,2000,Volleyball,No medal,0,0,,,0
Heather Bown,United States,2000,Volleyball,No medal,0,0,,,0
Tara Cross-battle,United States,2000,Volleyball,No medal,0,1,,,1
Mickisha Hurley,United States,2000,Volleyball,No medal,0,0,,,0
Sarah Noriega,United States,2000,Volleyball,No medal,0,0,,,0
Demetria Sance,United States,2000,Volleyball,No medal,0,0,,,0
Danielle Scott-arruda,United States,2000,Volleyball,No medal,0,0,,,0.5
Stacy Sykora,United States,2000,Volleyball,No medal,0,0,,,0
Charlene Tagaloa,United States,2000,Volleyball,No medal,0,0,,,0
Logan Tom,United States,2000,Volleyball,No medal,0,0,,,0
Kerri Jennings,United States,2000,Volleyball,No medal,0,0,,,0
Allison Weston,United States,2000,Volleyball,No medal,0,0,,,0
Robyn Mow-santos,United States,2004,Volleyball,No medal,0,0,,,0.5
Elisabeth (-mccutcheon),United States,2004,Volleyball,No medal,0,0,,,0
Lindsey Berg,United States,2004,Volleyball,No medal,0,0,,,0
Heather Bown,United States,2004,Volleyball,No medal,0,0,,,0.5
