Name,NOC,Year,Sport,isCoached,Scoring_Current,ExperienceScoring,Scoring_Last4
Hou Yuzhu,CHN,1984,Volleyball,0,5,0,0
Jiang Ying,CHN,1984,Volleyball,0,5,0,0
Lang Ping,CHN,1984,Volleyball,0,5,0,0
Li Yanjun,CHN,1984,Volleyball,0,5,0,0
Liang Yan,CHN,1984,Volleyball,0,5,0,0
Yang Xiaojun,CHN,1984,Volleyball,0,5,0,0
Yang Xilan,CHN,1984,Volleyball,0,5,0,0
Zhang Rongfang,CHN,1984,Volleyball,0,5,0,0
Zheng Meizhu,CHN,1984,Volleyball,0,5,0,0
Zhu Ling,CHN,1984,Volleyball,0,5,0,0
Carolyn Becker,United States,1984,Volleyball,0,3,0,0
Deborah (-vargas),United States,1984,Volleyball,0,3,0,0
Flora Hyman,United States,1984,Volleyball,0,3,0,0
Jeanne (-reeves),United States,1984,Volleyball,0,3,0,0
Julie (-melli),United States,1984,Volleyball,0,3,0,0
Kimberly Ruddins,United States,1984,Volleyball,0,3,0,0
Laura (-corbelli),United States,1984,Volleyball,0,3,0,0
Linda Chisholm,United States,1984,Volleyball,0,3,0,0
Paula (-hanold),United States,1984,Volleyball,0,3,0,0
Rita (-buck),United States,1984,Volleyball,0,3,0,0
Rose (-powell),United States,1984,Volleyball,0,3,0,0
Susan Woodstra,United States,1984,Volleyball,0,3,0,0
Hou Yuzhu,CHN,1988,Volleyball,0,6,1,5
Jiang Ying,CHN,1988,Volleyball,0,6,1,5
Yang Xiaojun,CHN,1988,Volleyball,0,6,1,5
Yang Xilan,CHN,1988,Volleyball,0,6,1,5
Zheng Meizhu,CHN,1988,Volleyball,0,6,1,5
Kimberly Ruddins,United States,1988,Volleyball,0,3,1,3
Cui Yongmei,CHN,1988,Volleyball,0,1,0,0
Li Guojun,CHN,1988,Volleyball,0,1,0,0
Li Yueming,CHN,1988,Volleyball,0,1,0,0
Su Huijuan,CHN,1988,Volleyball,0,1,0,0
Wang Yajun,CHN,1988,Volleyball,0,1,0,0
Wu Dan,CHN,1988,Volleyball,0,1,0,0
Angela Rock,United States,1988,Volleyball,0,0,0,0
Caren Kemner,United States,1988,Volleyball,0,0,0,0
Deitre (-parker),United States,1988,Volleyball,0,0,0,0
Elizabeth Masakayan,United States,1988,Volleyball,0,0,0,0
Jayne (gibson-),United States,1988,Volleyball,0,0,0,0
Kimberley Oden,United States,1988,Volleyball,0,0,0,0
Laurel Kessel,United States,1988,Volleyball,0,0,0,0
Liane Sato,United States,1988,Volleyball,0,0,0,0
Melissa (-kleespies),United States,1988,Volleyball,0,0,0,0
Prikeba Phipps,United States,1988,Volleyball,0,0,0,0
Tammy Webb-liley,United States,1988,Volleyball,0,0,0,0
Paula (-hanold),United States,1992,Volleyball,0,4,1,3
Caren Kemner,United States,1992,Volleyball,0,1,1,0
Elaina Oden,United States,1992,Volleyball,0,1,0,0
Janet (-mulholland),United States,1992,Volleyball,0,1,0,0
Kimberley Oden,United States,1992,Volleyball,0,1,1,0
Li Guojun,CHN,1992,Volleyball,0,1,1,1
Li Yueming,CHN,1992,Volleyball,0,1,1,1
Liane Sato,United States,1992,Volleyball,0,1,1,0
Lori (-vandersnick),United States,1992,Volleyball,0,1,0,0
Ruth (-kenan),United States,1992,Volleyball,0,1,0,0
Su Huijuan,CHN,1992,Volleyball,0,1,1,1
Tammy Webb-liley,United States,1992,Volleyball,0,1,1,0
Tara Cross-battle,United States,1992,Volleyball,0,1,0,0
Tonya (-slacanin),United States,1992,Volleyball,0,1,0,0
Wu Dan,CHN,1992,Volleyball,0,1,1,1
Yoko -hiroshi),United States,1992,Volleyball,0,1,0,0
Chen Fengqin,CHN,1992,Volleyball,0,0,0,0
Gao Lin,CHN,1992,Volleyball,0,0,0,0
Lai Yawen,CHN,1992,Volleyball,0,0,0,0
Ma Fang,CHN,1992,Volleyball,0,0,0,0
Su Liqun,CHN,1992,Volleyball,0,0,0,0
Sun Yue,CHN,1992,Volleyball,0,0,0,0
Wang Yi,CHN,1992,Volleyball,0,0,0,0
Zhou Hong,CHN,1992,Volleyball,0,0,0,0
Cui Yongmei,CHN,1996,Volleyball,1,4,1,1
He Qi,CHN,1996,Volleyball,1,3,0,0
Lai Yawen,CHN,1996,Volleyball,1,3,1,0
Li Yan,CHN,1996,Volleyball,1,3,0,0
Sun Yue,CHN,1996,Volleyball,1,3,1,0
Wang Lina,CHN,1996,Volleyball,1,3,0,0
Wang Yi,CHN,1996,Volleyball,1,3,1,0
Wang Ziling,CHN,1996,Volleyball,1,3,0,0
Wu Yongmei,CHN,1996,Volleyball,1,3,0,0
Caren Kemner,United States,1996,Volleyball,0,1,1,1
Elaina Oden,United States,1996,Volleyball,0,1,1,1
Lori (-vandersnick),United States,1996,Volleyball,0,1,1,1
Paula (-hanold),United States,1996,Volleyball,0,1,1,4
Tammy Webb-liley,United States,1996,Volleyball,0,1,1,1
Tara Cross-battle,United States,1996,Volleyball,0,1,1,1
Tonya (-slacanin),United States,1996,Volleyball,0,1,1,1
Yoko -hiroshi),United States,1996,Volleyball,0,1,1,1
Beverly Oden,United States,1996,Volleyball,0,0,0,0
Danielle Scott-arruda,United States,1996,Volleyball,0,0,0,0
Elaine Youngs,United States,1996,Volleyball,0,0,0,0
Kristin Klein,United States,1996,Volleyball,0,0,0,0
He Qi,CHN,2000,Volleyball,0,3,1,3
Li Yan,CHN,2000,Volleyball,0,3,1,3
Sun Yue,CHN,2000,Volleyball,0,3,2,3
Wang Lina,CHN,2000,Volleyball,0,3,1,3
Wu Yongmei,CHN,2000,Volleyball,0,3,1,3
Tara Cross-battle,United States,2000,Volleyball,0,1,1,1
Allison Weston,United States,2000,Volleyball,0,0,0,0
Charlene Tagaloa,United States,2000,Volleyball,0,0,0,0
Chen Jing,CHN,2000,Volleyball,0,0,0,0
Danielle Scott-arruda,United States,2000,Volleyball,0,0,1,0
Demetria Sance,United States,2000,Volleyball,0,0,0,0
Gui Chaoran,CHN,2000,Volleyball,0,0,0,0
Heather Bown,United States,2000,Volleyball,0,0,0,0
Kerri Jennings,United States,2000,Volleyball,0,0,0,0
Li Shan,CHN,2000,Volleyball,0,0,0,0
Logan Tom,United States,2000,Volleyball,0,0,0,0
Mickisha Hurley,United States,2000,Volleyball,0,0,0,0
Qiu Aihua,CHN,2000,Volleyball,0,0,0,0
Robyn Mow-santos,United States,2000,Volleyball,0,0,0,0
Sarah Noriega,United States,2000,Volleyball,0,0,0,0
Stacy Sykora,United States,2000,Volleyball,0,0,0,0
Wu Dan,CHN,2000,Volleyball,0,0,2,1
Yin Yin,CHN,2000,Volleyball,0,0,0,0
Zhu Yunying,CHN,2000,Volleyball,0,0,0,0
Wang Lina,CHN,2004,Volleyball,0,8,2,3
Chen Jing,CHN,2004,Volleyball,0,5,1,0
Feng Kun,CHN,2004,Volleyball,0,5,0,0
Li Shan,CHN,2004,Volleyball,0,5,1,0
Liu Yanan,CHN,2004,Volleyball,0,5,0,0
Song Nina,CHN,2004,Volleyball,0,5,0,0
Yang Hao,CHN,2004,Volleyball,0,5,0,0
Zhang Na,CHN,2004,Volleyball,0,5,0,0
Zhang Ping,CHN,2004,Volleyball,0,5,0,0
Zhang Yuehong,CHN,2004,Volleyball,0,5,0,0
Zhao Ruirui,CHN,2004,Volleyball,0,5,0,0
Zhou Suhong,CHN,2004,Volleyball,0,5,0,0
Danielle Scott-arruda,United States,2004,Volleyball,0,0,1,0
Elisabeth (-mccutcheon),United States,2004,Volleyball,0,0,0,0
Heather Bown,United States,2004,Volleyball,0,0,1,0
Lindsey Berg,United States,2004,Volleyball,0,0,0,0
Logan Tom,United States,2004,Volleyball,0,0,1,0
Nancy (meendering-),United States,2004,Volleyball,0,0,0,0
Ogonna Nnamani,United States,2004,Volleyball,0,0,0,0
Prikeba Phipps,United States,2004,Volleyball,0,0,1,0
Robyn Mow-santos,United States,2004,Volleyball,0,0,1,0
Stacy Sykora,United States,2004,Volleyball,0,0,1,0
Tara Cross-battle,United States,2004,Volleyball,0,0,2,1
Tayyiba Haneef-park,United States,2004,Volleyball,0,0,0,0
Feng Kun,CHN,2008,Volleyball,0,6,1,5
Liu Yanan,CHN,2008,Volleyball,0,6,1,5
Yang Hao,CHN,2008,Volleyball,0,6,1,5
Zhang Na,CHN,2008,Volleyball,0,6,1,5
Zhao Ruirui,CHN,2008,Volleyball,0,6,1,5
Zhou Suhong,CHN,2008,Volleyball,0,6,1,5
Danielle Scott-arruda,United States,2008,Volleyball,1,3,2,0
Heather Bown,United States,2008,Volleyball,1,3,1,0
Jennifer (-tamas),United States,2008,Volleyball,1,3,0,0
Kim Willoughby,United States,2008,Volleyball,1,3,0,0
Kimberly Glass,United States,2008,Volleyball,1,3,0,0
Lindsey Berg,United States,2008,Volleyball,1,3,1,0
Logan Tom,United States,2008,Volleyball,1,3,1,0
Nicole Davis,United States,2008,Volleyball,1,3,0,0
Ogonna Nnamani,United States,2008,Volleyball,1,3,1,0
Robyn Mow-santos,United States,2008,Volleyball,1,3,1,0
Stacy Sykora,United States,2008,Volleyball,1,3,1,0
Tayyiba Haneef-park,United States,2008,Volleyball,1,3,1,0
Li Juan,CHN,2008,Volleyball,0,1,0,0
Ma Yunwen,CHN,2008,Volleyball,0,1,0,0
Wang Yimei,CHN,2008,Volleyball,0,1,0,0
Wei Qiuyue,CHN,2008,Volleyball,0,1,0,0
Xu Yunli,CHN,2008,Volleyball,0,1,0,0
Xue Ming,CHN,2008,Volleyball,0,1,0,0
Danielle Scott-arruda,United States,2012,Volleyball,0,6,2,3
Lindsey Berg,United States,2012,Volleyball,0,6,1,3
Logan Tom,United States,2012,Volleyball,0,6,2,3
Nicole Davis,United States,2012,Volleyball,0,6,1,3
Tayyiba Haneef-park,United States,2012,Volleyball,0,6,1,3
Christa Harmotto-dietzen,United States,2012,Volleyball,0,3,0,0
Courtney Thompson,United States,2012,Volleyball,0,3,0,0
Destinee Hooker,United States,2012,Volleyball,0,3,0,0
Foluke Akinradewo,United States,2012,Volleyball,0,3,0,0
Jordan Larson-burbach,United States,2012,Volleyball,0,3,0,0
Megan Hodge,United States,2012,Volleyball,0,3,0,0
Tamari Miyashiro,United States,2012,Volleyball,0,3,0,0
Ma Yunwen,CHN,2012,Volleyball,0,1,1,1
Wang Yimei,CHN,2012,Volleyball,0,1,1,1
Wei Qiuyue,CHN,2012,Volleyball,0,1,1,1
Xu Yunli,CHN,2012,Volleyball,0,1,1,1
Chu Jinling,CHN,2012,Volleyball,0,0,0,0
Hui Ruoqi,CHN,2012,Volleyball,0,0,0,0
Mi Yang,CHN,2012,Volleyball,0,0,0,0
Shan Danna,CHN,2012,Volleyball,0,0,0,0
Yang Junjing,CHN,2012,Volleyball,0,0,0,0
Zeng Chunlei,CHN,2012,Volleyball,0,0,0,0
Zhang Lei,CHN,2012,Volleyball,0,0,0,0
Zhang Xian,CHN,2012,Volleyball,0,0,0,0
Wei Qiuyue,CHN,2016,Volleyball,1,6,2,1
Xu Yunli,CHN,2016,Volleyball,1,6,2,1
Ding Xia,CHN,2016,Volleyball,1,5,0,0
