Country,Year,Sport,Event,Gold,Total_Medals
Afghanistan,2008,Taekwondo,Taekwondo Men's Flyweight,0,1
Afghanistan,2012,Taekwondo,Taekwondo Men's Featherweight,0,1
Albania,2024,Wrestling,Men's Freestyle 65kg,0,1
Albania,2024,Wrestling,Men's Freestyle 74kg,0,1
Algeria,1984,Boxing,Boxing Men's Light-Heavyweight,0,1
Algeria,1984,Boxing,Boxing Men's Middleweight,0,1
Algeria,1992,Athletics,"Athletics Women's 1,500 metres",1,1
Algeria,1992,Boxing,Boxing Men's Featherweight,0,1
Algeria,1996,Athletics,"Athletics Men's 1,500 metres",1,1
Algeria,1996,Boxing,Boxing Men's Lightweight,1,1
Algeria,1996,Boxing,Boxing Men's Middleweight,0,1
Algeria,2000,Athletics,"Athletics Men's 5,000 metres",0,1
Algeria,2000,Athletics,Athletics Men's 800 metres,0,1
Algeria,2000,Athletics,Athletics Men's High Jump,0,1
Algeria,2000,Athletics,"Athletics Women's 1,500 metres",1,1
Algeria,2000,Boxing,Boxing Men's Light-Welterweight,0,1
Algeria,2008,Judo,Judo Men's Middleweight,0,1
Algeria,2008,Judo,Judo Women's Half-Lightweight,0,1
Algeria,2012,Athletics,"Athletics Men's 1,500 metres",1,1
Algeria,2016,Athletics,"Athletics Men's 1,500 metres",0,1
Algeria,2016,Athletics,Athletics Men's 800 metres,0,1
Algeria,2024,Artistic Gymnastics,Women's Uneven Bars,1,1
Algeria,2024,Athletics,Men's 800m,0,1
Algeria,2024,Boxing,Women's 66kg,1,1
Argentina,1924,Athletics,Athletics Men's Triple Jump,0,1
Argentina,1924,Boxing,Boxing Men's Featherweight,0,1
Argentina,1924,Boxing,Boxing Men's Heavyweight,0,1
Argentina,1924,Boxing,Boxing Men's Lightweight,0,1
Argentina,1924,Boxing,Boxing Men's Welterweight,0,1
Argentina,1924,Polo,Polo Men's Polo,5,5
Argentina,1928,Boxing,Boxing Men's Featherweight,0,1
Argentina,1928,Boxing,Boxing Men's Heavyweight,1,1
Argentina,1928,Boxing,Boxing Men's Light-Heavyweight,1,1
Argentina,1928,Boxing,Boxing Men's Welterweight,0,1
Argentina,1928,Fencing,"Fencing Men's Foil, Team",0,5
Argentina,1928,Football,Football Men's Football,0,16
