NOC,Year,isHost,Gold,Total,gold_ratio,total_ratio,Avg_X_Gold,Avg_X_Total,AthletesCount,CountryNum,MedalCounts,Frequency,AvgMedalCounts
American Samoa,1988,0,0,0,0,0,0,0,6,152,0,0,0
American Samoa,1992,0,0,0,0,0,0,0,3,152,0,0,0
American Samoa,1996,0,0,0,0,0,0,0,7,152,0,0,0
American Samoa,2000,0,0,0,0,0,0,0,4,152,0,0,0
American Samoa,2004,0,0,0,0,0,0,0,3,152,0,0,0
American Samoa,2008,0,0,0,0,0,0,0,4,152,0,0,0
American Samoa,2012,0,0,0,0,0,0,0,4,152,0,0,0
American Samoa,2016,0,0,0,0,0,0,0,4,152,0,0,0
American Samoa,2020,0,0,0,0,0,0,0,6,152,0,0,0
American Samoa,2024,0,0,0,0,0,0,0,2,152,0,0,0
Andorra,1976,0,0,0,0,0,0,0,3,148,0,0,0
Andorra,1980,0,0,0,0,0,0,0,2,148,0,0,0
Andorra,1984,0,0,0,0,0,0,0,2,148,0,0,0
Andorra,1988,0,0,0,0,0,0,0,4,148,0,0,0
Andorra,1992,0,0,0,0,0,0,0,8,148,0,0,0
Andorra,1996,0,0,0,0,0,0,0,8,148,0,0,0
Andorra,2000,0,0,0,0,0,0,0,5,148,0,0,0
Andorra,2004,0,0,0,0,0,0,0,6,148,0,0,0
Andorra,2008,0,0,0,0,0,0,0,5,148,0,0,0
Andorra,2012,0,0,0,0,0,0,0,6,148,0,0,0
Andorra,2016,0,0,0,0,0,0,0,4,148,0,0,0
Andorra,2020,0,0,0,0,0,0,0,3,148,0,0,0
Andorra,2024,0,0,0,0,0,0,0,4,148,0,0,0
Angola,1980,0,0,0,0,0,0,0,17,149,0,0,0
Angola,1988,0,0,0,0,0,0,0,33,149,0,0,0
Angola,1992,0,0,0,0,0,0,0,33,149,0,0,0
Angola,1996,0,0,0,0,0,0,0,30,149,0,0,0
Angola,2000,0,0,0,0,0,0,0,30,149,0,0,0
Angola,2004,0,0,0,0,0,0,0,30,149,0,0,0
Angola,2008,0,0,0,0,0,0,0,33,149,0,0,0
Angola,2012,0,0,0,0,0,0,0,35,149,0,0,0
Angola,2016,0,0,0,0,0,0,0,26,149,0,0,0
Angola,2020,0,0,0,0,0,0,0,20,149,0,0,0
Angola,2024,0,0,0,0,0,0,0,26,149,0,0,0
Antigua and Barbuda,1976,0,0,0,0,0,0,0,17,150,0,0,0
Antigua and Barbuda,1984,0,0,0,0,0,0,0,27,150,0,0,0
Antigua and Barbuda,1988,0,0,0,0,0,0,0,25,150,0,0,0
Antigua and Barbuda,1992,0,0,0,0,0,0,0,18,150,0,0,0
Antigua and Barbuda,1996,0,0,0,0,0,0,0,19,150,0,0,0
Antigua and Barbuda,2000,0,0,0,0,0,0,0,4,150,0,0,0
Antigua and Barbuda,2004,0,0,0,0,0,0,0,5,150,0,0,0
Antigua and Barbuda,2008,0,0,0,0,0,0,0,5,150,0,0,0
Antigua and Barbuda,2012,0,0,0,0,0,0,0,4,150,0,0,0
Antigua and Barbuda,2016,0,0,0,0,0,0,0,9,150,0,0,0
Antigua and Barbuda,2020,0,0,0,0,0,0,0,6,150,0,0,0
Antigua and Barbuda,2024,0,0,0,0,0,0,0,5,150,0,0,0
Aruba,1988,0,0,0,0,0,0,0,12,151,0,0,0
Aruba,1992,0,0,0,0,0,0,0,5,151,0,0,0
Aruba,1996,0,0,0,0,0,0,0,3,151,0,0,0
Aruba,2000,0,0,0,0,0,0,0,5,151,0,0,0
Aruba,2004,0,0,0,0,0,0,0,4,151,0,0,0
Aruba,2008,0,0,0,0,0,0,0,2,151,0,0,0
Aruba,2012,0,0,0,0,0,0,0,4,151,0,0,0
Aruba,2016,0,0,0,0,0,0,0,7,151,0,0,0
Aruba,2020,0,0,0,0,0,0,0,4,151,0,0,0
Aruba,2024,0,0,0,0,0,0,0,7,151,0,0,0
Bangladesh,1984,0,0,0,0,0,0,0,2,153,0,0,0
Bangladesh,1988,0,0,0,0,0,0,0,11,153,0,0,0
Bangladesh,1992,0,0,0,0,0,0,0,9,153,0,0,0
Bangladesh,1996,0,0,0,0,0,0,0,4,153,0,0,0
Bangladesh,2000,0,0,0,0,0,0,0,6,153,0,0,0
Bangladesh,2004,0,0,0,0,0,0,0,4,153,0,0,0
Bangladesh,2008,0,0,0,0,0,0,0,5,153,0,0,0
Bangladesh,2012,0,0,0,0,0,0,0,7,153,0,0,0
Bangladesh,2016,0,0,0,0,0,0,0,7,153,0,0,0
Bangladesh,2020,0,0,0,0,0,0,0,8,153,0,0,0
Bangladesh,2024,0,0,0,0,0,0,0,5,153,0,0,0
Belize,1968,0,0,0,0,0,0,0,7,157,0,0,0
Belize,1972,0,0,0,0,0,0,0,2,157,0,0,0
Belize,1976,0,0,0,0,0,0,0,4,157,0,0,0
Belize,1984,0,0,0,0,0,0,0,13,157,0,0,0
Belize,1988,0,0,0,0,0,0,0,13,157,0,0,0
Belize,1992,0,0,0,0,0,0,0,18,157,0,0,0
Belize,1996,0,0,0,0,0,0,0,5,157,0,0,0
Belize,2000,0,0,0,0,0,0,0,2,157,0,0,0
Belize,2004,0,0,0,0,0,0,0,2,157,0,0,0
Belize,2008,0,0,0,0,0,0,0,4,157,0,0,0
Belize,2012,0,0,0,0,0,0,0,3,157,0,0,0
Belize,2016,0,0,0,0,0,0,0,3,157,0,0,0
Belize,2020,0,0,0,0,0,0,0,4,157,0,0,0
Belize,2024,0,0,0,0,0,0,0,1,157,0,0,0
Benin,1972,0,0,0,0,0,0,0,3,154,0,0,0
Benin,1980,0,0,0,0,0,0,0,17,154,0,0,0
Benin,1984,0,0,0,0,0,0,0,3,154,0,0,0
Benin,1988,0,0,0,0,0,0,0,10,154,0,0,0
Benin,1992,0,0,0,0,0,0,0,7,154,0,0,0
Benin,1996,0,0,0,0,0,0,0,7,154,0,0,0
Benin,2000,0,0,0,0,0,0,0,4,154,0,0,0
Benin,2004,0,0,0,0,0,0,0,4,154,0,0,0
