Year,Host,NOC,isHost,Gold,Total,gold_ratio,total_ratio,Avg_X_Gold,Avg_X_Total,Count
1896,Greece,Australia,0,2,2,0.046511628,0.016393443,2,2,5
1896,Greece,Austria,0,2,5,0.046511628,0.040983607,2,5,8
1896,Greece,Denmark,0,1,6,0.023255814,0.049180328,1,6,15
1896,Greece,France,0,5,11,0.11627907,0.090163934,5,11,26
1896,Greece,Germany,0,6,13,0.139534884,0.106557377,6,13,94
1896,Greece,Great Britain,0,2,7,0.046511628,0.057377049,2,7,25
1896,Greece,Greece,1,10,47,0.23255814,0.385245902,10,47,148
1896,Greece,Hungary,0,2,6,0.046511628,0.049180328,2,6,18
1896,Greece,Switzerland,0,1,3,0.023255814,0.024590164,1,3,8
1896,Greece,United States,0,11,20,0.255813953,0.163934426,11,20,27
1900,France,Australia,0,2,5,0.020833333,0.017605634,2,3.5,6
1900,France,Austria,0,0,6,0,0.021126761,1,5.5,26
1900,France,Belgium,0,6,17,0.0625,0.059859155,6,17,100
1900,France,Bohemia,0,0,2,0,0.007042254,0,2,9
1900,France,Canada,0,1,2,0.010416667,0.007042254,1,2,7
1900,France,Cuba,0,1,2,0.010416667,0.007042254,1,2,2
1900,France,Denmark,0,1,6,0.010416667,0.021126761,1,6,36
1900,France,France,1,27,103,0.28125,0.362676056,16,57,1071
1900,France,Germany,0,4,9,0.041666667,0.031690141,5,11,103
1900,France,Great Britain,0,15,31,0.15625,0.10915493,8.5,19,146
1900,France,Hungary,0,1,5,0.010416667,0.017605634,1.5,5.5,34
1900,France,India,0,0,2,0,0.007042254,0,2,5
1900,France,Italy,0,3,5,0.03125,0.017605634,3,5,36
1900,France,Luxembourg,0,1,1,0.010416667,0.003521127,1,1,1
1900,France,Netherlands,0,0,5,0,0.017605634,0,5,73
1900,France,Norway,0,0,5,0,0.017605634,0,5,29
1900,France,Spain,0,1,1,0.010416667,0.003521127,1,1,12
1900,France,Sweden,0,0,1,0,0.003521127,0,1,27
1900,France,Switzerland,0,6,9,0.0625,0.031690141,3.5,6,52
1900,France,United States,0,19,48,0.197916667,0.169014085,15,34,135
1904,United States,Australia,0,0,4,0,0.014285714,1.333333333,3.666666667,6
1904,United States,Austria,0,1,3,0.010309278,0.010714286,1,4.666666667,7
1904,United States,Canada,0,4,6,0.041237113,0.021428571,2.5,4,61
1904,United States,Cuba,0,3,3,0.030927835,0.010714286,2,2.5,6
1904,United States,France,0,0,1,0,0.003571429,10.66666667,38.33333333,2
1904,United States,Germany,0,4,15,0.041237113,0.053571429,4.666666667,12.33333333,55
1904,United States,Great Britain,0,1,2,0.010309278,0.007142857,6,13.33333333,6
1904,United States,Greece,0,1,2,0.010309278,0.007142857,5.5,24.5,17
1904,United States,Hungary,0,2,4,0.020618557,0.014285714,1.666666667,5,9
1904,United States,Norway,0,2,2,0.020618557,0.007142857,1,3.5,6
1904,United States,Switzerland,0,1,3,0.010309278,0.010714286,2.666666667,5,7
1904,United States,United States,1,76,231,0.783505155,0.825,35.33333333,99.66666667,1109
1908,United Kingdom,Australasia,0,1,5,0.009090909,0.015432099,1,5,48
1908,United Kingdom,Austria,0,0,1,0,0.00308642,0.75,3.75,13
1908,United Kingdom,Belgium,0,1,8,0.009090909,0.024691358,1,8,99
1908,United Kingdom,Bohemia,0,0,2,0,0.00617284,0,2,41
1908,United Kingdom,Canada,0,3,16,0.027272727,0.049382716,3,16,148
1908,United Kingdom,Denmark,0,0,5,0,0.015432099,0,5,107
1908,United Kingdom,Finland,0,1,5,0.009090909,0.015432099,1,5,94
1908,United Kingdom,France,0,5,19,0.045454545,0.058641975,9.25,33.5,319
1908,United Kingdom,Germany,0,3,13,0.027272727,0.040123457,4.25,12.5,148
1908,United Kingdom,Great Britain,0,56,146,0.509090909,0.450617284,18.5,46.5,972
1908,United Kingdom,Greece,0,0,4,0,0.012345679,0,4,49
1908,United Kingdom,Hungary,0,3,9,0.027272727,0.027777778,2,6,107
1908,United Kingdom,Italy,0,2,4,0.018181818,0.012345679,2,4,97
1908,United Kingdom,Netherlands,0,0,2,0,0.00617284,0,2,218
1908,United Kingdom,Norway,0,2,8,0.018181818,0.024691358,2,8,103
1908,United Kingdom,Russia,0,1,3,0.009090909,0.009259259,1,3,7
1908,United Kingdom,South Africa,0,1,2,0.009090909,0.00617284,1,2,33
1908,United Kingdom,Sweden,0,8,25,0.072727273,0.077160494,8,25,276
1908,United Kingdom,United States,0,23,47,0.209090909,0.145061728,32.25,86.5,219
1912,Sweden,Australasia,0,2,7,0.019607843,0.022435897,2,7,38
1912,Sweden,Austria,0,0,4,0,0.012820513,0.25,3.5,132
1912,Sweden,Belgium,0,2,6,0.019607843,0.019230769,2,6,72
1912,Sweden,Canada,0,3,8,0.029411765,0.025641026,2.75,8,60
1912,Sweden,Denmark,0,1,12,0.009803922,0.038461538,0.75,7.25,233
1912,Sweden,Finland,0,9,26,0.088235294,0.083333333,9,26,233
1912,Sweden,France,0,7,14,0.068627451,0.044871795,9.75,34.25,232
1912,Sweden,Germany,0,5,25,0.049019608,0.080128205,4,15.5,312
1912,Sweden,Great Britain,0,10,41,0.098039216,0.131410256,20.5,55,461
1912,Sweden,Greece,0,1,2,0.009803922,0.006410256,3,13.75,77
1912,Sweden,Hungary,0,3,8,0.029411765,0.025641026,2.25,6.5,207
1912,Sweden,Italy,0,3,6,0.029411765,0.019230769,3,6,96
1912,Sweden,Netherlands,0,0,3,0,0.009615385,0,3,45
1912,Sweden,Norway,0,3,10,0.029411765,0.032051282,1.75,6.25,263
1912,Sweden,Russia,0,0,5,0,0.016025641,0,5,266
1912,Sweden,South Africa,0,4,6,0.039215686,0.019230769,4,6,56
1912,Sweden,Sweden,1,23,65,0.225490196,0.208333333,23,65,714
1912,Sweden,United States,0,26,64,0.254901961,0.205128205,36,97.5,364
1920,Belgium,Australia,0,0,3,0,0.006849315,1,3.5,29
1920,Belgium,Belgium,1,14,36,0.090322581,0.082191781,5.75,16.75,518
1920,Belgium,Brazil,0,1,3,0.006451613,0.006849315,1,3,38
1920,Belgium,Canada,0,3,9,0.019354839,0.020547945,3.25,9.75,85
1920,Belgium,Czechoslovakia,0,0,2,0,0.00456621,0,2,182
1920,Belgium,Denmark,0,3,13,0.019354839,0.029680365,1.25,9,246
1920,Belgium,Estonia,0,1,3,0.006451613,0.006849315,1,3,20
1920,Belgium,Finland,0,15,34,0.096774194,0.077625571,15,34,136
1920,Belgium,France,0,9,41,0.058064516,0.093607306,5.25,18.75,452
1920,Belgium,Great Britain,0,14,42,0.090322581,0.095890411,20.25,57.75,345
1920,Belgium,Greece,0,0,1,0,0.002283105,0.5,2.25,98
1920,Belgium,Italy,0,13,23,0.083870968,0.052511416,5.25,9.5,291
1920,Belgium,Japan,0,0,2,0,0.00456621,0,2,26
1920,Belgium,Luxembourg,0,0,1,0,0.002283105,0,1,35
