,Coefficient,Std_Error,P_value,CI_lower,CI_upper
Intercept,0.08892312600736121,0.06266582111662068,0.21511531764592653,-0.07216449547025847,0.25001074748498087
C(Country)[T.USA],-54.895482220795216,121.87477252003181,0.6712625266870094,-368.1845586830968,258.3935942415064
C(Year)[T.1988],-1.3734109169685915,1.4529896726799305,0.38794341136077104,-5.108439776926774,2.3616179429895916
C(Year)[T.1992],-2.9946841359339245,1.4609920800247789,0.09567199926108713,-6.750283838854138,0.7609155669862884
C(Year)[T.1996],-2.0843831238964214,2.2606795526010397,0.39882670568680706,-7.895644918007083,3.7268786702142402
C(Year)[T.2000],-2.1168622528466123,1.8703746336049825,0.30906666916213493,-6.924813311826506,2.6910888061332816
C(Year)[T.2004],-1.4236759153372978,1.6970516150949644,0.43977206669549573,-5.786085971237683,2.9387341405630876
C(Year)[T.2008],-0.31852563617845747,0.9882622308581158,0.7602591922927127,-2.8589345756677518,2.2218833033108365
C(Year)[T.2012],-0.1434847647069336,1.075879350144486,0.8991060760824738,-2.9091206795245514,2.622151150110684
C(Year)[T.2016],-0.9364283571261212,1.0463674297841141,0.41182901829295837,-3.626201465530621,1.753344751278379
C(Year)[T.2020],-0.4996551135650533,1.1223161038460865,0.6747882023929537,-3.3846605039539224,2.385350276823816
Treatment,0.9311510100219448,2.420439297297451,0.7162766221892303,-5.290786281871207,7.153088301915097
Post,-1.8980938715783224,1.33191382648504,0.21344835179823368,-5.321887360573624,1.525699617416979
Treatment:Post,0.5453842457896725,2.7973671250696057,0.8530962549838907,-6.645476873520433,7.736245365099778
Athletes_Num,0.12464371700318512,0.0673829152529032,0.1235833254739587,-0.048569580978148966,0.2978570149845192
Year,0.0009732041757886406,0.0007020932028613741,0.2243360271955292,-0.0008315838584105295,0.0027779922099878105
C(Country)[T.USA]:Year,0.027529271885699518,0.06087388506280108,0.6700440278681127,-0.1289520313213497,0.1840105750927487
