Country,Predicted_Gold,Predicted_Gold_Lower,Predicted_Gold_Upper,Predicted_Total,Predicted_Total_Lower,Predicted_Total_Upper
United States,40.17767815,35.36597451,44.98938178,118.6056909,97.39776703,139.8136148
China,38.04755266,31.14727486,44.94783046,89.14975914,73.18025593,105.1192624
Japan,21.48064352,12.98894539,29.97234165,51.51112919,28.74752196,74.27473642
Australia,16.22520538,10.84696126,21.6034495,50.17473301,40.86791188,59.48155414
France,16.47296361,11.60077308,21.34515414,60.89343399,47.57552794,74.21134004
Netherlands,14.09372544,10.82515832,17.36229257,36.6460561,27.87161055,45.42050165
Great Britain,28.15664433,19.25332346,37.05996519,67.73833103,51.16749307,84.30916899
South Korea,9.532247987,2.370603124,16.69389285,25.00481809,7.34208764,42.66754853
Italy,12.0361354,9.944546487,14.12772431,39.8737619,33.52145323,46.22607057
Germany,13.28860228,7.917433191,18.65977137,41.20485401,29.61099946,52.79870857
New Zealand,6.757520442,4.121563354,9.39347753,18.90155192,13.34795766,24.45514619
Canada,8.002332373,5.309345909,10.69531884,26.86063728,23.96467421,29.75660035
Uzbekistan,6.435085812,2.759281704,10.11088992,12.81461137,10.6355995,14.99362324
Hungary,6.086493447,4.636187005,7.536799889,19.32601921,16.13553222,22.5165062
Spain,6.040251036,2.82910196,9.251400111,19.83036037,14.34504198,25.31567877
Kenya,3.725311539,2.225406797,5.225216282,11.6325246,8.062735719,15.20231349
Sweden,3.182597368,1.238212886,5.126981849,10.29506233,7.756633928,12.83349073
Norway,3.698590778,2.717175772,4.680005784,7.996375632,6.609508759,9.383242505
Ireland,3.102036042,1.508031426,4.696040658,6.396057189,4.515209539,8.276904838
Brazil,6.762560711,4.399180562,9.12594086,20.88035695,15.52355509,26.23715881
Iran,2.830623682,1.912929198,3.748318165,9.128624754,3.385067766,14.87218174
Ukraine,3.208253293,1.943266437,4.473240149,13.76433457,9.114274889,18.41439426
Belgium,2.858169557,2.030390543,3.68594857,9.583734932,7.574513381,11.59295648
Romania,2.513524385,0.869077392,4.157971378,8.78634788,5.365234996,12.20746077
Georgia,2.125732235,0.867779174,3.383685296,7.517812195,6.124717508,8.910906881
Bulgaria,2.677341735,1.792830029,3.561853442,6.512012753,4.881841075,8.142184432
Czech Republic,2.317832971,1.246916191,3.388749751,6.343753688,4.033159607,8.65434777
Serbia,2.807039666,1.935413782,3.67866555,6.190881801,3.783719711,8.59804389
Denmark,1.584730853,0.552704973,2.616756734,8.340197105,6.405295951,10.27509826
Cuba,2.548601881,1.027255791,4.069947971,9.196219637,6.556370565,11.83606871
Chinese Taipei,1.884427355,1.189628564,2.579226146,6.900810556,5.598349338,8.203271774
Croatia,2.939373558,1.186319512,4.692427603,7.239942851,5.932358959,8.547526743
Azerbaijan,1.475272493,0.531781976,2.41876301,7.11553154,5.96063361,8.27042947
Austria,0.740777515,-0.158746179,1.640301209,3.433719323,1.688260816,5.17917783
Hong Kong,0.996021601,0.270806015,1.721237187,3.248460532,1.924959362,4.571961702
Bahrain,1.437963209,0.842596407,2.03333001,3.226038805,2.120758021,4.33131959
Philippines,1.318348418,0.383796228,2.252900607,3.327487275,1.647544807,5.007429743
Algeria,1.326486488,0.316433248,2.336539728,2.629349104,1.709279549,3.54941866
Indonesia,0.97566088,0.361235749,1.590086011,3.836961,2.580192001,5.093729999
Slovenia,2.058125118,1.239617392,2.876632844,3.609515874,2.017657548,5.201374201
Poland,1.612183447,-0.133008184,3.357375078,11.14375478,8.123316515,14.16419304
Greece,1.381390887,0.584463297,2.178318477,6.745536916,4.085386892,9.405686941
Switzerland,1.774454698,0.123239345,3.425670051,8.611939549,6.702314586,10.52156451
Israel,1.336882045,0.37530774,2.29845635,5.983330913,3.742404678,8.224257147
Kazakhstan,1.250363258,0.29966676,2.201059757,7.787146559,5.694724278,9.879568839
Thailand,1.292301934,0.63836562,1.946238248,5.623330965,4.538312212,6.708349719
